Date and Time,"Turbidity, NTU","Rainfall, mm",Flow
6/1/18 0:00,3.2,0,0.1209
6/1/18 1:00,2.94,0,0.1202
6/1/18 2:00,3.06,0,0.1196
6/1/18 3:00,3.19,0,0.1189
6/1/18 4:00,2.72,0,0.1183
6/1/18 5:00,2.61,0,0.1176
6/1/18 6:00,2.75,0,0.117
6/1/18 7:00,2.62,0,0.1163
6/1/18 8:00,2.57,0,0.1157
6/1/18 9:00,2.64,0,0.115
6/1/18 10:00,2.47,0,0.1144
6/1/18 11:00,2.3,0,0.1138
6/1/18 12:00,2.22,0,0.1132
6/1/18 13:00,2.45,0,0.1125
6/1/18 14:00,2.7,0,0.1119
6/1/18 15:00,2.68,0,0.1113
6/1/18 16:00,2.55,0,0.1107
6/1/18 17:00,2.71,0,0.1101
6/1/18 18:00,2.68,0,0.1096
6/1/18 19:00,2.72,0,0.109
6/1/18 20:00,2.59,0,0.1084
6/1/18 21:00,2.65,0,0.1078
6/1/18 22:00,2.61,0,0.1073
6/1/18 23:00,2.4,0,0.1067
6/2/18 0:00,2.55,0,0.1061
6/2/18 1:00,2.65,0,0.1056
6/2/18 2:00,2.51,0,0.105
6/2/18 3:00,2.24,0,0.1045
6/2/18 4:00,2.47,0,0.104
6/2/18 5:00,2.52,0,0.1034
6/2/18 6:00,2.35,0,0.1029
6/2/18 7:00,2.44,0,0.1024
6/2/18 8:00,2.26,0,0.1019
6/2/18 9:00,2.37,0,0.1013
6/2/18 10:00,2.49,0,0.1008
6/2/18 11:00,2.77,0,0.1003
6/2/18 12:00,2.63,0,0.0998
6/2/18 13:00,2.58,0,0.0993
6/2/18 14:00,2.66,0,0.0989
6/2/18 15:00,2.71,3.6,1.951
6/2/18 16:00,2.56,0,4.202
6/2/18 17:00,2.68,0,4.5907
6/2/18 18:00,2.73,0,4.7081
6/2/18 19:00,2.65,0,4.2706
6/2/18 20:00,2.48,0,3.5782
6/2/18 21:00,2.57,0,2.9826
6/2/18 22:00,2.39,0,2.4939
6/2/18 23:00,2.47,0,2.0943
6/3/18 0:00,2.36,0,1.7667
6/3/18 1:00,2.58,2.6,2.9242
6/3/18 2:00,2.5,1.8,6.027
6/3/18 3:00,2.44,0,8.2826
6/3/18 4:00,2.56,0,8.4975
6/3/18 5:00,2.4,0,7.5922
6/3/18 6:00,2.64,0,6.3995
6/3/18 7:00,2.58,0,5.3203
6/3/18 8:00,2.49,0,4.4297
6/3/18 9:00,2.61,0,3.7017
6/3/18 10:00,2.69,0,3.1061
6/3/18 11:00,2.73,0,2.6173
6/3/18 12:00,2.64,0,2.2159
6/3/18 13:00,2.57,0.4,1.8848
6/3/18 14:00,2.64,0,1.611
6/3/18 15:00,2.78,0,1.3826
6/3/18 16:00,2.61,0,1.1739
6/3/18 17:00,3.11,0,1.022
6/3/18 18:00,3.22,0,0.8949
6/3/18 19:00,3.29,0,0.7886
6/3/18 20:00,3.24,0,0.6994
6/3/18 21:00,3.51,0,0.6244
6/3/18 22:00,3.69,0,0.5612
6/3/18 23:00,3.39,0,0.507
6/4/18 0:00,3.55,0,0.4603
6/4/18 1:00,3.13,0,0.4222
6/4/18 2:00,3.38,0,0.3746
6/4/18 3:00,2.64,0,0.3312
6/4/18 4:00,2.56,0,0.312
6/4/18 5:00,2.61,0,0.2965
6/4/18 6:00,2.45,0,0.2832
6/4/18 7:00,2.57,0,0.2718
6/4/18 8:00,2.66,0,0.2617
6/4/18 9:00,2.49,0,0.2527
6/4/18 10:00,2.58,0,0.2434
6/4/18 11:00,2.62,0,0.2347
6/4/18 12:00,2.74,0,0.2275
6/4/18 13:00,2.59,0,0.2223
6/4/18 14:00,2.83,0,0.2152
6/4/18 15:00,2.71,0,0.2083
6/4/18 16:00,2.78,0,0.2045
6/4/18 17:00,2.61,0,0.2024
6/4/18 18:00,2.79,0,0.2007
6/4/18 19:00,2.88,0,0.1991
6/4/18 20:00,2.67,0,0.1977
6/4/18 21:00,2.71,0,0.1963
6/4/18 22:00,2.59,0,0.1944
6/4/18 23:00,2.68,0,0.1919
6/5/18 0:00,2.73,0,0.1901
6/5/18 1:00,2.91,0,0.189
6/5/18 2:00,2.87,0,0.1883
6/5/18 3:00,3.02,0,0.1877
6/5/18 4:00,2.92,0,0.1871
6/5/18 5:00,2.94,0,0.1864
6/5/18 6:00,3.04,0,0.1858
6/5/18 7:00,2.48,0,0.1852
6/5/18 8:00,2.86,0,0.1845
6/5/18 9:00,2.73,0,0.1839
6/5/18 10:00,2.98,0,0.183
6/5/18 11:00,3.55,0,0.1821
