Site,Date,Turbidity(NTU) at 12AM,Turbidity(NTU) at 4AM,Turbidity(NTU) at 8AM,Turbidity(NTU) at 12PM,Turbidity(NTU) at 4PM,Turbidity(NTU) at 8PM,Average 24hrTurbidity(NTU),"Coliform, Fecal(fc/100mL)"
DEL18DT,2019-03-31T00:00:00.000,0.75,0.70,0.80,0.65,0.70,0.70,0.72,<1
DEL18DT,2019-03-30T00:00:00.000,0.70,0.80,0.75,0.75,0.75,0.75,0.75,<1
DEL18DT,2019-03-29T00:00:00.000,0.80,0.80,0.80,0.75,0.80,0.80,0.79,E1
DEL18DT,2019-03-28T00:00:00.000,0.75,0.80,0.75,0.80,0.75,0.80,0.78,<1
DEL18DT,2019-03-27T00:00:00.000,0.85,0.80,0.80,0.75,0.85,0.80,0.81,<1
DEL18DT,2019-03-26T00:00:00.000,0.80,0.80,0.85,0.75,0.80,0.80,0.80,<1
DEL18DT,2019-03-25T00:00:00.000,0.80,0.90,0.80,0.80,0.80,0.85,0.83,<1
DEL18DT,2019-03-24T00:00:00.000,0.90,0.90,0.85,0.85,0.80,0.85,0.86,<1
DEL18DT,2019-03-23T00:00:00.000,0.90,0.95,0.85,0.80,0.95,0.80,0.88,<1
DEL18DT,2019-03-22T00:00:00.000,0.90,0.95,1.00,0.90,0.95,0.95,0.94,<1
DEL18DT,2019-03-21T00:00:00.000,0.95,0.90,0.90,0.85,0.85,0.90,0.89,<1
DEL18DT,2019-03-20T00:00:00.000,0.85,0.90,0.90,0.85,0.90,0.90,0.88,<1
DEL18DT,2019-03-19T00:00:00.000,0.85,0.90,0.95,1.00,0.95,0.90,0.93,<1
DEL18DT,2019-03-18T00:00:00.000,1.00,0.85,0.90,0.95,0.95,0.85,0.92,<1
DEL18DT,2019-03-17T00:00:00.000,1.10,0.95,0.95,1.00,0.95,1.00,0.99,<1
DEL18DT,2019-03-16T00:00:00.000,0.95,1.00,1.10,1.00,0.95,0.95,0.99,E3
DEL18DT,2019-03-15T00:00:00.000,0.90,0.90,0.90,1.10,0.95,1.00,0.96,E2
DEL18DT,2019-03-14T00:00:00.000,1.00,1.00,0.95,1.00,0.90,0.90,0.96,E1
DEL18DT,2019-03-13T00:00:00.000,1.00,0.95,0.90,0.95,0.90,0.95,0.94,<1
DEL18DT,2019-03-12T00:00:00.000,1.10,1.00,1.00,0.95,0.95,1.00,1.00,E2
DEL18DT,2019-03-11T00:00:00.000,1.10,1.10,0.95,0.95,0.95,1.00,1.01,E1
